Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
H_Test,,,,,,16.86933344,47.76933297,161.186,Global,0.133,0.161,0.031,0.209,2.086,m,FIX,2024-10-08 14:01:40.3 UTC+02:00,2024-10-08 14:01:45.5 UTC+02:00,27,1.1,1.3,,,,16.86821967,47.76984336,163.875,101.082,,Global CS,12,9,4,0,1
H001,,,,,,16.86933494,47.76933243,161.195,Global,0.011,0.010,0.012,0.015,2.086,m,FIX,2024-10-08 14:02:11.3 UTC+02:00,2024-10-08 14:02:16.3 UTC+02:00,26,1.1,1.3,,,,16.86821967,47.76984336,163.875,101.065,,Global CS,12,9,0,0,1
H002,,,,,,16.86955833,47.76962333,162.025,Global,0.013,0.012,0.018,0.018,2.086,m,FLOAT,2024-10-08 14:09:11.7 UTC+02:00,2024-10-08 14:09:16.9 UTC+02:00,27,1.2,1.3,,,,16.86821967,47.76984336,163.875,103.276,,Global CS,12,9,4,0,1
H003,,,,,,16.87008249,47.76977091,162.212,Global,0.011,0.013,0.016,0.017,2.086,m,FIX,2024-10-08 14:12:24.1 UTC+02:00,2024-10-08 14:12:29.3 UTC+02:00,27,1.5,1.8,,,,16.86821967,47.76984336,163.875,139.872,,Global CS,13,8,0,0,1
H004,,,,,,16.87045028,47.76943175,161.347,Global,0.013,0.013,0.014,0.018,2.086,m,FIX,2024-10-08 14:15:54.5 UTC+02:00,2024-10-08 14:15:59.5 UTC+02:00,26,1.3,1.5,,,,16.86821967,47.76984336,163.875,173.350,,Global CS,14,8,0,0,1
H005,,,,,,16.87005184,47.76935954,161.025,Global,0.014,0.011,0.022,0.018,2.086,m,FIX,2024-10-08 14:18:50.7 UTC+02:00,2024-10-08 14:18:55.9 UTC+02:00,27,1.3,1.5,,,,16.86821967,47.76984336,163.875,147.496,,Global CS,13,8,0,0,1
H006,,,,,,16.87026247,47.76905569,161.261,Global,0.016,0.011,0.015,0.019,2.086,m,FIX,2024-10-08 14:21:58.7 UTC+02:00,2024-10-08 14:22:03.7 UTC+02:00,26,1.2,1.3,,,,16.86821967,47.76984336,163.875,176.417,,Global CS,11,8,0,0,1
H007,,,,,,16.86979221,47.76910165,160.973,Global,0.013,0.011,0.013,0.017,2.086,m,FIX,2024-10-08 14:25:01.9 UTC+02:00,2024-10-08 14:25:07.1 UTC+02:00,27,1.3,1.5,,,,16.86821967,47.76984336,163.875,143.863,,Global CS,12,8,0,0,1
H008,,,,,,16.86933779,47.76908454,161.029,Global,0.016,0.014,0.011,0.021,2.086,m,FIX,2024-10-08 14:27:58.1 UTC+02:00,2024-10-08 14:28:03.3 UTC+02:00,27,1.2,1.4,,,,16.86821967,47.76984336,163.875,118.942,,Global CS,12,8,0,0,1
H009,,,,,,16.86939416,47.76880040,161.007,Global,0.012,0.018,0.011,0.022,2.086,m,FIX,2024-10-08 14:30:14.5 UTC+02:00,2024-10-08 14:30:19.7 UTC+02:00,27,1.3,1.5,,,,16.86821967,47.76984336,163.875,145.585,,Global CS,12,8,0,0,1
H010,,,,,,16.86902004,47.76870525,161.017,Global,0.011,0.015,0.013,0.019,2.086,m,FIX,2024-10-08 14:33:07.9 UTC+02:00,2024-10-08 14:33:12.9 UTC+02:00,26,1.3,1.5,,,,16.86821967,47.76984336,163.875,140.059,,Global CS,12,9,0,0,1
H011,,,,,,16.86872013,47.76890604,161.028,Global,0.010,0.009,0.015,0.014,2.086,m,FIX,2024-10-08 14:36:31.9 UTC+02:00,2024-10-08 14:36:37.1 UTC+02:00,27,1.2,1.4,,,,16.86821967,47.76984336,163.875,110.762,,Global CS,13,9,0,0,1
H012,,,,,,16.86858133,47.76866204,160.983,Global,0.012,0.016,0.011,0.020,2.086,m,FIX,2024-10-08 14:41:45.5 UTC+02:00,2024-10-08 14:41:50.7 UTC+02:00,27,1.2,1.4,,,,16.86821967,47.76984336,163.875,134.149,,Global CS,13,9,4,0,1
H013,,,,,,16.86826114,47.76884116,161.023,Global,0.014,0.018,0.011,0.023,2.086,m,FIX,2024-10-08 14:45:17.3 UTC+02:00,2024-10-08 14:45:22.6 UTC+02:00,27,1.2,1.4,,,,16.86821967,47.76984336,163.875,111.461,,Global CS,13,10,0,0,1
H014,,,,,,16.86813935,47.76859072,161.017,Global,0.015,0.017,0.011,0.023,2.086,m,FIX,2024-10-08 14:48:06.7 UTC+02:00,2024-10-08 14:48:11.8 UTC+02:00,26,1.5,1.8,,,,16.86821967,47.76984336,163.875,139.396,,Global CS,12,10,0,0,1
H015,,,,,,16.86775633,47.76867294,161.032,Global,0.009,0.009,0.015,0.013,2.086,m,FIX,2024-10-08 14:50:51.3 UTC+02:00,2024-10-08 14:50:56.3 UTC+02:00,26,1.5,1.8,,,,16.86821967,47.76984336,163.875,134.701,,Global CS,13,9,0,0,1
H016,,,,,,16.86776819,47.76841743,161.018,Global,0.019,0.015,0.013,0.024,2.086,m,FIX,2024-10-08 14:53:59.0 UTC+02:00,2024-10-08 14:54:04.0 UTC+02:00,26,1.2,1.3,,,,16.86821967,47.76984336,163.875,162.135,,Global CS,13,9,0,0,0
H017,,,,,,16.86799546,47.76820705,160.954,Global,0.013,0.014,0.017,0.019,2.086,m,FIX,2024-10-08 14:56:35.2 UTC+02:00,2024-10-08 14:56:40.4 UTC+02:00,27,1.5,1.8,,,,16.86821967,47.76984336,163.875,182.724,,Global CS,13,9,0,0,1
H018,,,,,,16.86761994,47.76817631,161.008,Global,0.013,0.012,0.020,0.017,2.086,m,FIX,2024-10-08 14:59:53.6 UTC+02:00,2024-10-08 14:59:58.6 UTC+02:00,26,1.5,1.8,,,,16.86821967,47.76984336,163.875,190.733,,Global CS,13,9,0,0,0
H019,,,,,,16.86776272,47.76797166,160.933,Global,0.014,0.008,0.015,0.016,2.086,m,FIX,2024-10-08 15:02:33.2 UTC+02:00,2024-10-08 15:02:38.4 UTC+02:00,27,1.1,1.2,,,,16.86821967,47.76984336,163.875,210.910,,Global CS,13,0,0,0,1
H020,,,,,,16.86743009,47.76798159,161.040,Global,0.010,0.010,0.012,0.014,2.086,m,FIX,2024-10-08 15:05:32.0 UTC+02:00,2024-10-08 15:05:37.0 UTC+02:00,26,1.1,1.2,,,,16.86821967,47.76984336,163.875,215.307,,Global CS,13,9,0,0,1
